iter	RMSE
0	0.4354708421
1	0.4295136398
2	0.4238403165
3	0.4185871577
4	0.414165268
5	0.4097007886
6	0.4057936754
7	0.4019555063
8	0.3986687852
9	0.3957127123
10	0.393215099
11	0.3905392689
12	0.3881234219
13	0.3860404622
14	0.3840669639
15	0.3821968607
16	0.3806086146
17	0.3792115819
18	0.3778341787
19	0.3764012412
20	0.3751245548
21	0.3739786072
22	0.3731284179
23	0.3722231882
24	0.3712060297
25	0.3703621599
26	0.3694126143
27	0.3686250887
28	0.3679660031
29	0.367224695
30	0.3665758829
31	0.3659819438
32	0.3655677935
33	0.3649454824
34	0.36455267
35	0.3639720087
36	0.3634271961
37	0.3629332101
38	0.3625186118
39	0.3620898256
40	0.361589156
41	0.3611528869
42	0.3607513333
43	0.3603696843
44	0.3599520596
45	0.3596064321
46	0.3592622714
47	0.3589475488
48	0.3586735645
49	0.3584127255
50	0.3581482591
51	0.3578667776
52	0.3576788279
53	0.3573485543
54	0.3570807501
55	0.3568637575
56	0.3566998829
57	0.3563821477
58	0.3562414709
59	0.3559403967
60	0.3557857299
61	0.3556035348
62	0.3554298769
63	0.3552163025
64	0.3550161091
65	0.3548359383
66	0.3546416996
67	0.354451087
68	0.3544413743
69	0.3541937944
70	0.3540171492
71	0.3538816165
72	0.353702728
73	0.3535033806
74	0.3533430491
75	0.3531851806
76	0.3529950588
77	0.3528174124
78	0.3526248304
79	0.3524694168
80	0.3522844406
81	0.3520862083
82	0.3518695128
83	0.3517185558
84	0.3514940451
85	0.3512711639
86	0.3511703233
87	0.3510239078
88	0.350863796
89	0.3507304813
90	0.3505103363
91	0.3503840599
92	0.3502555567
93	0.350065061
94	0.3499169865
95	0.3498056377
96	0.3497332849
97	0.3496264414
98	0.3494434874
99	0.3492889906
100	0.3491462095
101	0.3490607751
102	0.3489456444
103	0.3488694646
104	0.3487799826
105	0.3486694306
106	0.3484459643
107	0.3483497
108	0.3482020203
109	0.3480330578
110	0.3479199612
111	0.3477610647
112	0.3475992552
113	0.3474563973
114	0.3473680197
115	0.3472289848
116	0.3471272228
117	0.3469669626
118	0.3468194623
119	0.3467163076
120	0.346611988
121	0.3464103192
122	0.346226877
123	0.3461278658
124	0.346000244
125	0.3459224474
126	0.3457560843
127	0.3456815487
128	0.3454907229
129	0.3453870101
130	0.3453015125
131	0.3451901397
132	0.3449856353
133	0.3448647717
134	0.3446152982
135	0.3444704584
136	0.3443430483
137	0.3442452072
138	0.344176956
139	0.3440466777
140	0.3439155917
141	0.3438318709
142	0.3437144643
143	0.3435625647
