iter	Passed	Remaining
0	153	152963
1	158	79253
2	164	54561
3	167	41788
4	171	34168
5	175	29050
6	179	25398
7	182	22578
8	184	20347
9	188	18615
10	191	17196
11	193	15961
12	196	14938
13	199	14074
14	204	13407
15	207	12752
16	210	12152
17	212	11610
18	216	11157
19	220	10787
20	223	10401
21	225	10032
22	227	9674
23	230	9375
24	233	9119
25	237	8899
26	241	8689
27	244	8481
28	248	8307
29	259	8401
30	263	8226
31	266	8072
32	270	7920
33	273	7779
34	277	7640
35	280	7515
36	284	7406
37	287	7288
38	291	7175
39	294	7079
40	298	6990
41	302	6892
42	305	6798
43	308	6707
44	312	6624
45	316	6561
46	319	6477
47	322	6402
48	326	6337
49	330	6274
50	333	6208
51	337	6151
52	341	6110
53	345	6058
54	349	6004
55	352	5944
56	355	5881
57	358	5825
58	362	5778
59	365	5729
60	369	5680
61	372	5635
62	375	5588
63	380	5560
64	383	5515
65	386	5469
66	389	5425
67	393	5398
68	395	5339
69	398	5296
70	402	5272
71	406	5236
72	410	5207
73	414	5188
74	418	5155
75	421	5128
76	427	5122
77	431	5097
78	435	5073
79	441	5082
80	446	5069
81	450	5040
82	454	5023
83	459	5011
84	463	4989
85	466	4958
86	469	4928
87	473	4904
88	477	4884
89	481	4865
90	484	4842
91	488	4819
92	492	4805
93	495	4780
94	499	4758
95	502	4734
96	506	4717
97	509	4691
98	513	4669
99	516	4651
100	520	4633
101	524	4614
102	527	4595
103	531	4575
104	534	4554
105	537	4535
106	552	4608
107	556	4594
108	559	4574
109	562	4553
110	565	4532
111	569	4518
112	573	4498
113	576	4478
114	579	4459
115	582	4440
116	586	4428
117	590	4411
118	593	4393
119	596	4373
120	601	4366
121	605	4355
122	608	4339
123	612	4325
124	615	4308
125	619	4294
126	622	4277
127	625	4261
128	628	4245
129	632	4233
130	636	4219
131	639	4203
132	644	4199
133	647	4187
134	651	4174
135	654	4159
136	657	4143
137	660	4124
138	665	4123
139	669	4109
140	671	4093
141	675	4079
142	678	4065
143	682	4056
144	685	4041
145	688	4024
146	691	4010
147	693	3994
148	697	3984
149	700	3970
150	703	3956
151	706	3942
152	709	3927
153	734	4035
154	738	4027
155	742	4015
156	746	4005
157	749	3994
158	752	3981
159	756	3971
160	760	3961
161	764	3956
162	767	3943
163	770	3929
164	773	3914
165	777	3906
166	780	3895
167	783	3880
168	786	3866
169	789	3852
170	792	3841
171	810	3900
172	813	3888
173	816	3874
174	819	3861
175	822	3849
176	827	3846
177	830	3833
178	832	3819
179	835	3806
180	838	3795
181	843	3789
182	846	3777
183	848	3764
184	882	3888
185	902	3949
186	907	3946
187	911	3937
188	914	3924
189	927	3952
190	929	3938
191	932	3923
192	934	3908
193	937	3896
194	940	3883
195	943	3869
196	945	3854
197	948	3840
198	950	3825
199	952	3811
200	956	3802
201	958	3788
202	961	3774
203	963	3760
204	966	3746
205	968	3733
206	971	3723
207	974	3710
208	976	3696
209	979	3684
210	981	3671
211	984	3657
212	987	3649
213	990	3636
214	992	3623
215	994	3610
216	997	3599
217	1000	3587
218	1003	3580
219	1006	3568
220	1009	3556
221	1011	3545
222	1014	3533
223	1016	3522
224	1020	3514
225	1022	3502
226	1025	3491
227	1027	3479
228	1029	3467
229	1032	3456
230	1035	3446
231	1037	3435
232	1040	3424
233	1042	3413
234	1045	3402
235	1047	3390
236	1051	3383
237	1053	3373
238	1056	3362
239	1058	3351
240	1060	3340
241	1063	3330
242	1066	3323
243	1069	3313
244	1072	3303
245	1074	3292
246	1077	3283
247	1079	3273
248	1083	3266
249	1085	3257
250	1088	3246
251	1090	3236
252	1092	3227
253	1095	3218
254	1099	3213
255	1102	3205
256	1105	3196
257	1108	3188
258	1111	3179
259	1115	3174
260	1117	3164
261	1119	3154
262	1122	3145
263	1125	3136
264	1129	3133
265	1133	3128
266	1137	3121
267	1140	3113
268	1143	3106
269	1148	3104
270	1150	3095
271	1154	3088
272	1157	3081
273	1160	3073
274	1163	3067
275	1166	3059
276	1168	3051
277	1171	3043
278	1175	3037
279	1178	3031
280	1181	3024
281	1184	3016
282	1188	3010
283	1191	3003
284	1195	2999
285	1198	2992
286	1202	2986
287	1208	2988
288	1212	2982
289	1215	2976
290	1219	2970
291	1222	2964
292	1226	2960
293	1230	2953
294	1233	2947
295	1236	2941
296	1239	2934
297	1243	2930
298	1248	2927
299	1252	2923
300	1262	2930
301	1266	2926
302	1269	2920
303	1274	2917
304	1278	2912
305	1282	2909
306	1291	2915
307	1295	2909
308	1298	2903
309	1301	2897
310	1306	2894
311	1310	2888
312	1313	2882
313	1316	2876
314	1319	2869
315	1323	2865
316	1326	2859
317	1330	2852
318	1333	2846
319	1338	2843
320	1341	2837
321	1344	2831
322	1348	2826
323	1352	2821
324	1356	2817
325	1360	2811
326	1363	2807
327	1367	2801
328	1371	2797
329	1374	2791
330	1378	2785
331	1381	2779
332	1386	2778
333	1389	2771
334	1393	2765
335	1396	2759
